432,SRH,YOMART MM SARIMANAH,,,,10
433,CMI,YOMART MM CIMINDI 1,,,,10
434,THI,YOMART MM TAMAN HOLIS INDAH,,,,10
435,CLY,YOMART MM CILEUNYI,,,,10
436,CPG,YOMART MM CIPADUNG,,,,10
437,BLH,YOMART MM BALE ENDAH,,,,10
438,TMI,YOMART MM TAMAN SARI,,,,10
439,CHG,YOMART MM CIHANJUANG,,,,10
440,CWY,YOMART MM CIWIDEY,,,,10
441,LBG,YOMART MM LEMBANG,,,,10
442,CPA,YOMART MM CIPARAY 2,,,,10
444,MAH,YOMART MM MARGA ASIH,,,,10
446,GDI,YOMART MM GARDUJATI,,,,10
447,CJE,YOMART MM CIJAMBE,,,,10
448,PYN,YOMART MM PANYILEUKAN,,,,10
449,MRN,YOMART MM MOH. RAMDHAN,,,,10
451,SKK,YOMART MM SUKAMENAK 1,,,,10
452,CGK,YOMART MM CAGAK,,,,10
453,KLI,YOMART MM KALIJATI,,,,10
455,SKN,YOMART MM SUKAMISKIN,,,,10
457,BJA,YOMART MM BANJARAN 2,,,,10
458,MLH,YOMART MM MELONG ASIH,,,,10
459,ATI,YOMART MM ANTAPANI 1,,,,10
460,KDN,YOMART MM KORDON,,,,10
461,PSM,YOMART MM PSM,,,,10
462,SRN,YOMART MM SOREANG 2,,,,10
463,MPI,YOMART MM MARGAHAYU PERMAI,,,,10
464,CSG,YOMART MM CISIRUNG,,,,10
465,CCA,YOMART MM CICALENGKA,,,,10
466,CLN,YOMART MM CILILIN 1,,,,10
467,PWI,YOMART MM PURWADADI,,,,10
468,KBR,YOMART MM KEMBAR,,,,10
469,CLE,YOMART MM CILAMPENI,,,,10
470,CLI,YOMART MM CILILIN 2,,,,10
471,NPH,YOMART MM NGAMPRAH,,,,10
472,RCR,YOMART MM RANCAMANYAR,,,,10
473,SKT,YOMART MM SOKLAT_SUBANG,,,,10
475,CBR,YOMART MM CIBEBER CIMAHI,,,,10
476,PMN,YOMART MM PAMANUKAN,,,,10
477,PLI,YOMART MM PALASARI,,,,10
479,PDN,YOMART MM PADAYUNGAN,,,,10
481,SLA,YOMART MM SAYATI LAMA,,,,10
482,KAE,YOMART MM KARANG AMPEL 2,,,,10
483,KAL,YOMART MM KARANG AMPEL 1,,,,10
484,DPR,YOMART MM DAGO PAKAR,,,,10
485,LGH,YOMART MM LEUWI GAJAH 3,,,,10
486,PNA,YOMART MM PANGANDARAN 2,,,,10
489,LPN,YOMART MM LEUWI PANJANG 2,,,,10
490,CWN,YOMART MM CIKALONG WETAN,,,,10
491,CBM,YOMART MM CIBEUREUM 2,,,,10
492,DWI,YOMART MM DERWATI,,,,10
494,CKO,YOMART MM CIJEROKASO,,,,10
495,KLT,YOMART MM KALIJATI 2,,,,10
497,SJK,YOMART MM SOLOKAN JERUK,,,,10
498,SNA,YOMART MM SINGAPARNA 2,,,,10
500,PLN,YOMART MM PALIMANAN,,,,10
501,WRU,YOMART MM WERU,,,,10
503,JTI,YOMART MM JATIWANGI,,,,10
504,AJN,YOMART MM ARJAWINANGUN,,,,10
506,CLG,YOMART MM CILEDUG,,,,10
508,SMG,YOMART MM SAMARANG,,,,10
509,CMK,YOMART MM CIMANUK 1,,,,10
510,CBK,YOMART MM CIBADAK 1,,,,10
511,SKA,YOMART MM SUKARAJA,,,,10
512,RBY,YOMART MM RAMBAY,,,,10
513,NPG,YOMART MM NYOMPLONG,,,,10
514,WKG,YOMART MM WARUNG KONDANG,,,,10
515,PHM,YOMART MM PASIR HAYAM,,,,10
516,AFM,YOMART MM ARIF RAHMAN HAKIM,,,,10
517,CSA,YOMART MM CISAAT 2,,,,10
518,PRU,YOMART MM PELABUHAN RATU 1,,,,10
519,CPR,YOMART MM CIAUL PASIR,,,,10
520,PKA,YOMART MM PARUNG KUDA,,,,10
521,CBA,YOMART MM CIBADAK 3,,,,10
522,CSK,YOMART MM CISOLOK,,,,10
